eng,deu_m,deu_f,deu_n
I am Afghan.,Ich bin Afghane.,Ich bin Afghanin.,
I am Angolan.,Ich bin Angolaner.,Ich bin Angolanerin.,
I am Albanian.,Ich bin Albaner.,Ich bin Albanerin.,
I am Andorran.,Ich bin Andorraner.,Ich bin Andorranerin.,
I am Emirati.,,,
I am Argentine.,Ich bin Argentinier.,Ich bin Argentinierin.,
I am Armenian.,Ich bin Armenier.,Ich bin Armenierin.,
I am Antiguan.,Ich bin Antiguaner.,Ich bin Antiguanerin.,
I am Australian.,Ich bin Australier.,Ich bin Australierin.,
I am Austrian.,Ich bin Österreicher.,Ich bin Österreicherin.,
I am Azerbaijani.,Ich bin Aserbaidschaner.,Ich bin Aserbaidschanerin.,
I am Burundian.,Ich bin Burundier.,Ich bin Burundierin.,
I am Belgian.,Ich bin Belgier.,Ich bin Belgierin.,
I am Beninese.,Ich bin Beniner.,Ich bin Beninerin.,
I am Burkinabe.,Ich bin Burkiner.,Ich bin Burkinerin.,
I am Bangladeshi.,Ich bin Bangladescher.,Ich bin Bangladescherin.,
I am Bulgarian.,Ich bin Bulgare.,Ich bin Bulgarin.,
I am Bahraini.,Ich bin Bahrainer.,Ich bin Bahrainerin.,
I am Bahamian.,Ich bin Bahamaer.,Ich bin Bahamaerin.,
I am Bosnian.,Ich bin Bosnier.,Ich bin Bosnierin.,
I am Belarusian.,Ich bin Belarusse.,Ich bin Belarussin.,
I am Belizean.,Ich bin Belizer.,Ich bin Belizerin.,
I am Bolivian.,Ich bin Bolivianer.,Ich bin Bolivianerin.,
I am Brazilian.,Ich bin Brasilianer.,Ich bin Brasilianerin.,
I am Barbadian.,Ich bin Barbadier.,Ich bin Barbadierin.,
I am Bruneian.,Ich bin Bruneier.,Ich bin Bruneierin.,
I am Bhutanese.,Ich bin Bhutaner.,Ich bin Bhutanerin.,
I am Motswana.,Ich bin Botsuaner.,Ich bin Botsuanerin.,
I am Central African.,Ich bin Zentralafrikaner.,Ich bin Zentralafrikanerin.,
I am Canadian.,Ich bin Kanadier.,Ich bin Kanadierin.,
I am Swiss.,Ich bin Schweizer.,Ich bin Schweizerin.,
I am Chilean.,Ich bin Chilene.,Ich bin Chilenin.,
I am Chinese.,Ich bin Chinese.,Ich bin Chinesin.,
I am Ivorian.,Ich bin Ivorer.,Ich bin Ivorerin.,
I am Cameroonian.,Ich bin Kameruner.,Ich bin Kamerunerin.,
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,
I am Congolese.,Ich bin Kongolese.,Ich bin Kongolesin.,
I am Colombian.,Ich bin Kolumbianer.,Ich bin Kolumbianerin.,
I am Comoran.,Ich bin Komorer.,Ich bin Komorerin.,
I am Cape Verdian.,,,
I am Costa Rican.,Ich bin Costa Ricaner.,Ich bin Costa Ricanerin.,
I am Cuban.,Ich bin Kubaner.,Ich bin Kubanerin.,
I am Cypriot.,Ich bin Zyprer.,Ich bin Zyprerin.,
I am Czech.,Ich bin Tscheche.,Ich bin Tschechin.,
I am German.,,,Ich bin Deutsche.
I am Djibouti.,Ich bin Dschibutier.,Ich bin Dschibutierin.,
I am Dominican.,Ich bin Dominicaner.,Ich bin Dominicanerin.,
I am Danish.,Ich bin Däne.,Ich bin Dänin.,
I am Dominican.,Ich bin Dominikaner.,Ich bin Dominikanerin.,
I am Algerian.,Ich bin Algerier.,Ich bin Algerierin.,
I am Ecuadorean.,Ich bin Ecuadorianer.,Ich bin Ecuadorianerin.,
I am Egyptian.,Ich bin Ägypter.,Ich bin Ägypterin.,
I am Eritrean.,Ich bin Eritreer.,Ich bin Eritreerin.,
I am Spanish.,Ich bin Spanier.,Ich bin Spanierin.,
I am Estonian.,Ich bin Este.,Ich bin Estin.,
I am Ethiopian.,Ich bin Äthiopier.,Ich bin Äthiopierin.,
I am Finnish.,Ich bin Finne.,Ich bin Finnin.,
I am Fijian.,Ich bin Fidschianer.,Ich bin Fidschianerin.,
I am French.,Ich bin Franzose.,Ich bin Französin.,
I am Micronesian.,Ich bin Mikronesier.,Ich bin Mikronesierin.,
I am Gabonese.,Ich bin Gabuner.,Ich bin Gabunerin.,
I am British.,Ich bin Brite.,Ich bin Britin.,
I am Georgian.,Ich bin Georgier.,Ich bin Georgierin.,
I am Ghanaian.,Ich bin Ghanaer.,Ich bin Ghanaerin.,
I am Guinean.,Ich bin Guineer.,Ich bin Guineerin.,
I am Gambian.,Ich bin Gambier.,Ich bin Gambierin.,
I am Guinea-Bissauan.,Ich bin Guinea-Bissauer.,Ich bin Guinea-Bissauerin.,
I am Equatorial Guinean.,Ich bin Äquatorialguineer.,Ich bin Äquatorialguineerin.,
I am Greek.,Ich bin Grieche.,Ich bin Griechin.,
I am Grenadian.,Ich bin Grenader.,Ich bin Grenaderin.,
I am Guatemalan.,Ich bin Guatemalteke.,Ich bin Guatemaltekin.,
I am Guyanese.,Ich bin Guyaner.,Ich bin Guyanerin.,
I am Honduran.,Ich bin Honduraner.,Ich bin Honduranerin.,
I am Croatian.,Ich bin Kroate.,Ich bin Kroatin.,
I am Haitian.,Ich bin Haitianer.,Ich bin Haitinaerin.,
I am Hungarian.,Ich bin Ungar.,Ich bin Ungarin.,
I am Indonesian.,Ich bin Indonesier.,Ich bin Indonesierin.,
I am Indian.,Ich bin Inder.,Ich bin Inderin.,
I am Irish.,Ich bin Ire.,Ich bin Irin.,
I am Iranian.,Ich bin Iraner.,Ich bin Iranerin.,
I am Iraqi.,Ich bin Iraker.,Ich bin Irakerin.,
I am Icelander.,Ich bin Isländer.,Ich bin Isländerin.,
I am Israeli.,Ich bin Israeli.,Ich bin Israelin.,
I am Italian.,Ich bin Italiener.,Ich bin Italienerin.,
I am Jamaican.,Ich bin Jamaikaner.,Ich bin Jamaikanerin.,
I am Jordanian.,Ich bin Jordanier.,Ich bin Jordanierin.,
I am Japanese.,Ich bin Japaner.,Ich bin Japanerin.,
I am Kazakhstani.,Ich bin Kasache.,Ich bin Kasachin.,
I am Kenyan.,Ich bin Kenianer.,Ich bin Kenianerin.,
I am Kirghiz.,Ich bin Kirgise.,Ich bin Kirgisin.,
I am Cambodian.,Ich bin Kambodschaner.,Ich bin Kambodschanerin.,
I am I-Kiribati.,Ich bin Kiribatier.,Ich bin Kiribatierin.,
I am Kittitian or Nevisian.,,,
I am South Korean.,Ich bin Südkoreaner.,Ich bin Südkoreanerin.,
I am Kuwaiti.,Ich bin Kuwaiter.,Ich bin Kuwaiterin.,
I am Laotian.,Ich bin Laote.,Ich bin Laotin.,
I am Lebanese.,Ich bin Libanese.,Ich bin Libanesin.,
I am Liberian.,Ich bin Liberianer.,Ich bin Liberianerin.,
I am Libyan.,Ich bin Libyer.,Ich bin Libyerin.,
I am Saint Lucian.,Ich bin Lucianer.,Ich bin Lucianerin.,
I am Liechtensteiner.,Ich bin Liechtensteiner.,Ich bin Liechtensteinerin.,
I am Sri Lankan.,Ich bin Sri Lanker.,Ich bin Sri Lankerin.,
I am Mosotho.,Ich bin Lesother.,Ich bin Lesotherin.,
I am Lithuanian.,Ich bin Litauer.,Ich bin Litauerin.,
I am Luxembourger.,Ich bin Luxemburger.,Ich bin Luxemburgerin.,
I am Latvian.,Ich bin Lette.,Ich bin Lettin.,
I am Moroccan.,Ich bin Marokkaner.,Ich bin Marokkanerin.,
I am Monegasque.,Ich bin Monegasse.,Ich bin Monegassin.,
I am Moldovan.,Ich bin Moldauer.,Ich bin Moldauerin.,
I am Malagasy.,Ich bin Madagasse.,Ich bin Madagassin.,
I am Maldivan.,Ich bin Malediver.,Ich bin Malediverin.,
I am Mexican.,Ich bin Mexikaner.,Ich bin Mexikanerin.,
I am Marshallese.,Ich bin Marshaller.,Ich bin Marshallerin.,
I am Macedonian.,Ich bin Mazedonier.,Ich bin Mazedonierin.,
I am Malian.,Ich bin Malier.,Ich bin Malierin.,
I am Maltese.,Ich bin Malteser.,Ich bin Malteserin.,
I am Burmese.,Ich bin Myanmare.,Ich bin Myanmarin.,
I am Montenegrin.,Ich bin Montenegriner.,Ich bin Montenegrinerin.,
I am Mongolian.,Ich bin Mongole.,Ich bin Mongolin.,
I am Mozambican.,Ich bin Mosambikaner.,Ich bin Mosambikanerin.,
I am Mauritanian.,Ich bin Mauretanier.,Ich bin Mauretanierin.,
I am Mauritian.,Ich bin Mauritier.,Ich bin Mauritierin.,
I am Malawian.,Ich bin Malawier.,Ich bin Malawierin.,
I am Malaysian.,Ich bin Malaysier.,Ich bin Malaysierin.,
I am Namibian.,Ich bin Namibier.,Ich bin Namibierin.,
I am Nigerien.,Ich bin Nigrer.,Ich bin Nigrerin.,
I am Nigerian.,Ich bin Nigerianer.,Ich bin Nigerianerin.,
I am Nicaraguan.,Ich bin Nicaraguaner.,Ich bin Nicaraguanerin.,
I am Dutch.,Ich bin Niederländer.,Ich bin Niederländerin.,
I am Norwegian.,Ich bin Norweger.,Ich bin Norwegerin.,
I am Nepalese.,Ich bin Nepalese.,Ich bin Nepalesin.,
I am Nauruan.,Ich bin Nauruer.,Ich bin Nauruerin.,
I am New Zealander.,Ich bin Neuseeländer.,Ich bin Neuseeländerin.,
I am Omani.,Ich bin Omaner.,Ich bin Omanerin.,
I am Pakistani.,Ich bin Pakistaner.,Ich bin Pakistanerin.,
I am Panamanian.,Ich bin Panamaer.,Ich bin Panamaerin.,
I am Peruvian.,Ich bin Peruaner.,Ich bin Peruanerin.,
I am Filipino.,Ich bin Philippiner.,Ich bin Philippinerin.,
I am Palauan.,Ich bin Palauer.,Ich bin Palauerin.,
I am Papua New Guinean.,Ich bin PapuaNeuguineer.,Ich bin PapuaNeuguineerin.,
I am Polish.,Ich bin Pole.,Ich bin Polin.,
I am North Korean.,Ich bin Nordkoreaner.,Ich bin Nordkoreanerin.,
I am Portuguese.,Ich bin Portugiese.,Ich bin Portugiesin.,
I am Paraguayan.,Ich bin Paraguayer.,Ich bin Paraguayerin.,
I am Qatari.,Ich bin Katarer.,Ich bin Katarerin.,
I am Romanian.,Ich bin Rumäne.,Ich bin Rumänin.,
I am Russian.,Ich bin Russe.,Ich bin Russin.,
I am Rwandan.,Ich bin Ruander.,Ich bin Ruanderin.,
I am Saudi Arabian.,Ich bin SaudiAraber.,Ich bin SaudiAraberin.,
I am Sudanese.,Ich bin Sudaner.,Ich bin Sudanerin.,
I am Senegalese.,Ich bin Senegalese.,Ich bin Senegalesin.,
I am Singaporean.,Ich bin Singapurer.,Ich bin Singapurerin.,
I am Solomon Islander.,Ich bin Salomoner.,Ich bin Salomonerin.,
I am Sierra Leonean.,Ich bin SierraLeoner.,Ich bin SierraLeonerin.,
I am Salvadoran.,Ich bin Salvadorianer.,Ich bin Salvadorianerin.,
I am Sammarinese.,Ich bin SanMarinese.,Ich bin SanMarinesin.,
I am Somali.,Ich bin Somalier.,Ich bin Somalierin.,
I am Serbian.,Ich bin Serbe.,Ich bin Serbin.,
I am South Sudanese.,Ich bin Südsudaner.,Ich bin Südsudanerin.,
I am Sao Tomean.,Ich bin São Toméer.,Ich bin São Toméerin.,
I am Surinamer.,Ich bin Surinamer.,Ich bin Surinamerin.,
I am Slovak.,Ich bin Slowake.,Ich bin Slowakin.,
I am Slovene.,Ich bin Slowene.,Ich bin Slowenin.,
I am Swedish.,Ich bin Schwede.,Ich bin Schwedin.,
I am Swazi.,,,Ich bin Swasi.
I am Seychellois.,Ich bin Seycheller.,Ich bin Seychellerin.,
I am Syrian.,Ich bin Syrer.,Ich bin Syrerin.,
I am Chadian.,Ich bin Tschader.,Ich bin Tschaderin.,
I am Togolese.,Ich bin Togoer.,Ich bin Togoerin.,
I am Thai.,Ich bin Thailänder.,Ich bin Thailänderin.,
I am Tadzhik.,Ich bin Tadschike.,Ich bin Tadschikin.,
I am Turkmen.,Ich bin Turkmene.,Ich bin Turkmenin.,
I am East Timorese.,Ich bin Timorer.,Ich bin Timorerin.,
I am Tongan.,Ich bin Tongaer.,Ich bin Tongaerin.,
I am Trinidadian.,,,
I am Tunisian.,Ich bin Tunesier.,Ich bin Tunesierin.,
I am Turkish.,Ich bin Türke.,Ich bin Türkin.,
I am Tuvaluan.,Ich bin Tuvaluer.,Ich bin Tuvaluerin.,
I am Tanzanian.,Ich bin Tansanier.,Ich bin Tansanierin.,
I am Ugandan.,Ich bin Ugander.,Ich bin Uganderin.,
I am Ukrainian.,Ich bin Ukrainer.,Ich bin Ukrainerin.,
I am Uruguayan.,Ich bin Uruguayer.,Ich bin Uruguayerin.,
I am American.,Ich bin Amerikaner.,Ich bin Amerikanerin.,
I am Uzbekistani.,Ich bin Usbeke.,Ich bin Usbekin.,
I am Saint Vincentian.,Ich bin Vincenter.,Ich bin Vincenterin.,
I am Venezuelan.,Ich bin Venezolaner.,Ich bin Venezolanerin.,
I am Vietnamese.,Ich bin Vietnamese.,Ich bin Vietnamesin.,
I am Ni-Vanuatu.,Ich bin Vanuatuer.,Ich bin Vanuatuerin.,
I am Samoan.,Ich bin Samoaner.,Ich bin Samoanerin.,
I am Yemeni.,Ich bin Jemenit.,Ich bin Jemenitin.,
I am South African.,Ich bin Südafrikaner.,Ich bin Südafrikanerin.,
I am Zambian.,Ich bin Sambier.,Ich bin Sambierin.,
I am Zimbabwean.,Ich bin Simbabwer.,Ich bin Simbabwerin.,