eng,it_m,it_f,it_n
I am Afghan.,Sono afghano.,Sono afghana.,
I am Angolan.,Sono angolano.,Sono angolana.,
I am Albanian.,,,Sono albanese.
I am Andorran.,Sono andorrano.,Sono andorrana.,
I am Emirati.,Sono emiratino.,Sono emiratina.,
I am Argentine.,Sono argentino.,Sono argentina.,
I am Armenian.,Sono armeno.,Sono armena.,
I am Antiguan.,Sono antiguano.,Sono antiguana.,
I am Australian.,Sono australiano.,Sono australiana.,
I am Austrian.,Sono austriaco.,Sono austriaca.,
I am Azerbaijani.,Sono azero.,Sono azera.,
I am Burundian.,,,Sono burundese.
I am Belgian.,,,Sono belga.
I am Beninese.,,,Sono beninese.
I am Burkinabe.,,,
I am Bangladeshi.,,,Sono bangladese.
I am Bulgarian.,Sono bulgaro.,Sono bulgara.,
I am Bahraini.,,,Sono bahreinita.
I am Bahamian.,,,Sono bahamense.
I am Bosnian.,Sono bosniaco.,Sono bosniaca.,
I am Belarusian.,Sono bielorusso.,Sono bielorussa.,
I am Belizean.,Sono beliziano.,Sono beliziana.,
I am Bolivian.,Sono boliviano.,Sono boliviana.,
I am Brazilian.,Sono brasiliano.,Sono brasiliana.,
I am Barbadian.,Sono barbadiano.,Sono barbadiana.,
I am Bruneian.,,,
I am Bhutanese.,,,Sono bhutanese.
I am Motswana.,Sono botswano.,Sono botswana.,
I am Central African.,Sono centrafricano.,Sono centrafricana.,
I am Canadian.,,,Sono canadese.
I am Swiss.,Sono svizzero.,Sono svizzera.,
I am Chilean.,Sono cileno.,Sono cilena.,
I am Chinese.,,,Sono cinese.
I am Ivorian.,Sono ivoriano.,Sono ivoriana.,
I am Cameroonian.,,,Sono camerunese.
I am Congolese.,,,Sono congolese.
I am Congolese.,,,Sono congolese.
I am Colombian.,Sono colombiano.,Sono colombiana.,
I am Comoran.,Sono comoriano.,Sono comoriana.,
I am Cape Verdian.,Sono capoverdiano.,Sono capoverdiana.,
I am Costa Rican.,Sono costaricano.,Sono costaricana.,
I am Cuban.,Sono cubano.,Sono cubana.,
I am Cypriot.,,,Sono cipriota.
I am Czech.,Sono ceco.,Sono ceca.,
I am German.,Sono tedesco.,Sono tedesca.,
I am Djibouti.,Sono gibutiano.,Sono gibutiana.,
I am Dominican.,Sono dominicano.,Sono dominicana.,
I am Danish.,,,Sono danese.
I am Dominican.,Sono dominicano.,Sono dominicana.,
I am Algerian.,Sono algerino.,Sono algerina.,
I am Ecuadorean.,Sono ecuadoregno.,Sono ecuadoregna.,
I am Egyptian.,Sono egiziano.,Sono egiziana.,
I am Eritrean.,Sono eritreo.,Sono eritrea.,
I am Spanish.,Sono spagnolo.,Sono spagnola.,
I am Estonian.,,,Sono estone.
I am Ethiopian.,,,Sono etiope.
I am Finnish.,,,Sono finlandese.
I am Fijian.,Sono figiano.,Sono figiana.,
I am French.,,,Sono francese.
I am Micronesian.,Sono micronesiano.,Sono micronesiana.,
I am Gabonese.,,,Sono gabonese.
I am British.,Sono britannico.,Sono britannica.,
I am Georgian.,Sono georgiano.,Sono georgiana.,
I am Ghanaian.,,,Sono ghanese.
I am Guinean.,Sono guineano.,Sono guineana.,
I am Gambian.,Sono gambiano.,Sono gambiana.,
I am Guinea-Bissauan.,,,Sono guineense.
I am Equatorial Guinean.,Sono equatoguineano.,Sono equatoguineana.,
I am Greek.,Sono greco.,Sono greca.,
I am Grenadian.,Sono grenadino.,Sono grenadina.,
I am Guatemalan.,Sono guatemalteco.,Sono guatemalteca.,
I am Guyanese.,,,Sono guyanese.
I am Honduran.,Sono honduregno.,Sono honduregna.,
I am Croatian.,Sono croato.,Sono croata.,
I am Haitian.,Sono haitiano.,Sono haitiana.,
I am Hungarian.,,,Sono ungherese.
I am Indonesian.,Sono indonesiano.,Sono indonesiana.,
I am Indian.,Sono indiano.,Sono indiana.,
I am Irish.,,,Sono irlandese.
I am Iranian.,Sono iraniano.,Sono iraniana.,
I am Iraqi.,Sono iracheno.,Sono irachena.,
I am Icelander.,,,Sono islandese.
I am Israeli.,Sono israeliano.,Sono israeliana.,
I am Italian.,Sono italiano.,Sono italiana.,
I am Jamaican.,Sono giamaicano.,Sono giamaicana.,
I am Jordanian.,Sono giordano.,Sono giordana.,
I am Japanese.,Sono Giapponese.,Sono Giapponesi.,
I am Kazakhstani.,Sono kazaco.,Sono kazaca.,
I am Kenyan.,,,Sono keniota.
I am Kirghiz.,Sono kirghiso.,Sono kirghisa.,
I am Cambodian.,Sono cambogiano.,Sono cambogiana.,
I am I-Kiribati.,Sono kiribatiano.,Sono kiribatiana.,
I am Kittitian or Nevisian.,Sono kittitiano.,Sono kittitiana.,
I am South Korean.,Sono sudcoreano.,Sono sudcoreana.,
I am Kuwaiti.,,,
I am Laotian.,Sono laotiano.,Sono laotiana.,
I am Lebanese.,,,Sono libanese.
I am Liberian.,Sono liberiano.,Sono liberiana.,
I am Libyan.,Sono libico.,Sono libica.,
I am Saint Lucian.,Sono santaluciano.,Sono santaluciana.,
I am Liechtensteiner.,,,Sono liechtensteinese.
I am Sri Lankan.,,,Sono sri lankese.
I am Mosotho.,Sono lesothiano.,Sono lesothiana.,
I am Lithuanian.,Sono lituano.,Sono lituana.,
I am Luxembourger.,,,Sono lussemburghese.
I am Latvian.,Sono lettone.,Sono lettona.,
I am Moroccan.,Sono marocchino.,Sono marocchina.,
I am Monegasque.,Sono monegasco.,Sono monegasca.,
I am Moldovan.,Sono moldavo.,Sono moldava.,
I am Malagasy.,Sono malgascio.,Sono malgascia.,
I am Maldivan.,Sono maldiviano.,Sono maldiviana.,
I am Mexican.,Sono messicano.,Sono messicana.,
I am Marshallese.,,,Sono marshallese.
I am Macedonian.,,,Sono macedone.
I am Malian.,Sono maliano.,Sono maliana.,
I am Maltese.,,,Sono maltese.
I am Burmese.,Sono birmano.,Sono birmese.,
I am Montenegrin.,Sono montenegrino.,Sono montenegrina.,
I am Mongolian.,Sono mongolo.,Sono mongola.,
I am Mozambican.,Sono mozambicano.,Sono mozambicana.,
I am Mauritanian.,Sono mauritano.,Sono mauritaniana.,
I am Mauritian.,Sono mauriziano.,Sono mauriziana.,
I am Malawian.,Sono malawiano.,Sono malawiana.,
I am Malaysian.,,,Sono malese.
I am Namibian.,Sono namibiano.,Sono namibiana.,
I am Nigerien.,Sono nigerino.,Sono nigerina.,
I am Nigerian.,Sono nigeriano.,Sono nigeriana.,
I am Nicaraguan.,,,Sono nicaraguense.
I am Dutch.,,,Sono olandese.
I am Norwegian.,,,Sono norvegese.
I am Nepalese.,,,Sono nepalese.
I am Nauruan.,Sono nauruano.,Sono nauruana.,
I am New Zealander.,,,Sono neozelandese.
I am Omani.,,,Sono omanita.
I am Pakistani.,Sono pakistano.,Sono pakistanа.,
I am Panamanian.,,,Sono panamense.
I am Peruvian.,Sono peruviano.,Sono peruviana.,
I am Filipino.,Sono filippino.,Sono filippina.,
I am Palauan.,Sono palauano.,Sono palauana.,
I am Papua New Guinean.,Sono papuano.,Sono papuana.,
I am Polish.,Sono polacco.,Sono polacca.,
I am North Korean.,Sono nordcoreano.,Sono nordcoreana.,
I am Portuguese.,,,Sono portoghese.
I am Paraguayan.,Sono paraguaiano.,Sono paraguaiana.,
I am Qatari.,,,Sono qatariota.
I am Romanian.,Sono rumeno.,Sono rumena.,
I am Russian.,Sono russo.,Sono russa.,
I am Rwandan.,,,Sono ruandese.
I am Saudi Arabian.,,,Sono saudita.
I am Sudanese.,,,Sono sudanese.
I am Senegalese.,,,Sono senegalese.
I am Singaporean.,Sono singaporiano.,Sono singaporiana.,
I am Solomon Islander.,,,Sono salomonese.
I am Sierra Leonean.,,,Sono sierra leonese.
I am Salvadoran.,Sono salvadoregno.,Sono salvadoregna.,
I am Sammarinese.,,,Sono sammarinese.
I am Somali.,Sono somalo.,Sono somala.,
I am Serbian.,Sono serbo.,Sono serba.,
I am South Sudanese.,,,Sono sudsudanese.
I am Sao Tomean.,,,Sono saotomense.
I am Surinamer.,,,Sono surinamese.
I am Slovak.,Sono slovacco.,Sono slovacca.,
I am Slovene.,Sono sloveno.,Sono slovena.,
I am Swedish.,,,Sono svedese.
I am Swazi.,,,Sono swazilandese.
I am Seychellois.,,,Sono seicellese.
I am Syrian.,Sono siriano.,Sono siriana.,
I am Chadian.,Sono ciadiano.,Sono ciadiana.,
I am Togolese.,,,Sono togolese.
I am Thai.,,,Sono thailandese.
I am Tadzhik.,Sono tagiko.,Sono tagika.,
I am Turkmen.,Sono turkmeno.,Sono turkmena.,
I am East Timorese.,,,Sono timorese.
I am Tongan.,Sono tongano.,Sono tongana.,
I am Trinidadian.,,,Sono trinitense.
I am Tunisian.,Sono tunisino.,Sono tunisina.,
I am Turkish.,Sono turco.,Sono turca.,
I am Tuvaluan.,Sono tuvaluano.,Sono tuvaluana.,
I am Tanzanian.,Sono tanzaniano.,Sono tanzaniana.,
I am Ugandan.,,,Sono ugandese.
I am Ukrainian.,Sono ucraino.,Sono ucraina.,
I am Uruguayan.,Sono uruguayano.,Sono uruguayana.,
I am American.,,,Sono statunitense.
I am Uzbekistani.,Sono uzbeco.,Sono uzbeka.,
I am Saint Vincentian.,Sono vincentino.,Sono vincentina.,
I am Venezuelan.,Sono venezuelano.,Sono venezuelana.,
I am Vietnamese.,,,Sono vietnamita.
I am Ni-Vanuatu.,Sono vanuatuano.,Sono vanuatana.,
I am Samoan.,Sono samoano.,Sono samoana.,
I am Yemeni.,,,Sono yemenita.
I am South African.,Sono sudafricano.,Sono sudafricana.,
I am Zambian.,Sono zambiano.,Sono zambiana.,
I am Zimbabwean.,Sono zimbabwiano.,Sono zimbabwiana.,